NAG_Code,s_safemem,s_safelead,s_headquar,s_traincamp,s_training,s_weaponlog,s_finaid,s_transport,s_troop,ds_safemem,ds_safelead,ds_headquar,ds_traincamp,ds_training,ds_weaponlog,ds_finaid,ds_transport,domsup
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,0.6159317211948792,1.0,1.0,0.6159317211948792,0.6159317211948792,0.7510668563300144,0.6714082503556188,1.0,1.0,0.5462304409672831,1.0,1.0,0.7610241820768138,1.0,0.8677098150782362,0.001422475106685633,0.9658605974395448,0.0
125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,0.5938461538461538,0.5938461538461538,1.0,1.0,0.8523076923076922,0.8092307692307692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028490028490028487,1.0,1.0,1.0,1.0,1.0,1.0,0.0
131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,0.9564393939393939,0.5814393939393939,0.4772727272727273,1.0,1.0,0.8882575757575758,1.0,0.9659090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875
133,0.18181818181818182,1.0,0.2,1.0,1.0,0.0,0.34545454545454546,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,0.8596491228070174,0.631578947368421,0.6491228070175439,1.0,1.0,0.7368421052631579,1.0,0.9356725146198829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
135,1.0,0.4583333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,0.638095238095238,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,1.0,0.3956043956043956,0.3956043956043956,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
138,1.0,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78
140,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
141,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,1.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.047619047619047616,0.33333333333333337,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3181818181818182,1.0,0.8939393939393939,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
148,1.0,1.0,0.1801801801801802,1.0,1.0,1.0,1.0,1.0,1.0,0.13663663663663667,0.13663663663663667,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,0.0
151,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,1.0,1.0,1.0,1.0,0.9805735430157261,1.0,1.0,1.0,1.0,0.4588344125809435,0.888991674375578,1.0,0.4588344125809435,1.0,0.8945420906567992,1.0,0.8547641073080481,1.0
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
159,0.26666666666666666,1.0,1.0,0.35238095238095235,0.35238095238095235,0.5238095238095238,1.0,1.0,1.0,1.0,0.9047619047619048,0.9047619047619048,0.9333333333333333,0.9333333333333333,1.0,0.9047619047619048,1.0,0.0
161,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3428571428571428,0.3428571428571428,0.8761904761904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,0.18181818181818182,1.0,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,0.012096774193548387,0.012096774193548387,0.012096774193548387,0.8991935483870968,0.8991935483870968,1.0,1.0,1.0,1.0,0.006048387096774193,0.006048387096774193,0.006048387096774193,1.0,1.0,0.006048387096774193,0.006048387096774193,0.006048387096774193,0.020161290322580645
168,0.10909090909090911,1.0,0.10909090909090911,1.0,1.0,1.0,1.0,1.0,1.0,0.9454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.7272727272727272
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
181,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.40170940170940167
182,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
183,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.2857142857142857,1.0,0.21428571428571427,0.3571428571428571,1.0,0.6428571428571428,0.0,0.6428571428571428,0.6428571428571428,1.0,0.3571428571428571,1.0,0.6428571428571428,1.0
186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
189,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.8333333333333333
190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0,0.4166666666666667,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
